nr,product,producer,person,reviewDate,title,text,language,rating1,rating2,rating3,rating4,publisher,publishDate
1,4,1,1,2007-12-17,'negotiations jargoned unknowingly appendectomies stalks shattering fluttering agonised hooligans deltoids dilatoriness regulars necessaries','obstruction optics unlearned howdah banquets forcibleness bossa molester disturbingly evacuations mulattoes coheirs staffing unkosher canceler denarius analytically firedamp mosts undetermined tauruses slipperiness daydreams judicatures knitwear inflammability degreasing sufficing prerecording sheriffdom boyfriends hedonics saucerized pendulums painkillers biparental coving knighting chases suicidally extranuclear mights manifoldness thinker bawdiness thinclads vedic civicism avengingly flatulence assessment torchier uniquest dehorns roader irritableness discontentedness fruiterer algonquins wattages hecticly scollop subassociation overfurnishing healthiest unwarmed flinchingly implementable tranship scut procommunists muumuu sacristan instability darky philters microminiaturization nubbins suitability mimeoing subdirectors heptoses rousted webfoot heartiest sauted spittles triflingly chemotherapeutical spurned guardants unfriendly organists haplessness griddlecake synthetics coatrack erotogenesis armoured divestment nurser manacling merchandised vaulting prostatitis truckles gapes harborless blah sheds heeded triarchy euglena reticules monaxonic cocomat imply tillages organelle progressing socializers gunlocks reciter parochialism cesuras birdcall woodlore proscriptive omniscience timorous triumphing misspoke abbreviates savannas thirstily canallers ocurred dipoles smelled pancaking praying beneficing hussar marquise mailboxes pedicabs ovules pieces workfolk rugger satirizer doable adolescently citied diverseness psychs wonderlands subsidizable fricassees waterfowl interlocution unevener rancours boggier','en',-1,10,10,-1,1,2008-06-06
2,4,1,1,2007-09-04,'finis helots spooning frolickers darkeners entombing hairbands','lachrymatory enouncing fullering uncurbed rototiller fewer nixy distensions sotted badinaging hornswoggling overexercised forested algorithms tournaments stomachic squinching liquefiers baronets nutmeats spurtles unseats flannelled speculums affright cento spraying yanqui bettered reclining quarterfinalist transmigrator inflections discouraged withering resides coiffed spadefuls monocellular predecease justifiers pilings noncorroborative agaves lights monomolecularly brassards copulatory doodlers winey librarians featly heteronomous finks bushelers garlics reiving secretness tyke distraint ordainer tacos tubercled hemstitches spoiling counteractions nonvisually corroborations culls prechill impresarios tautest entangler manicurists cooch pubescence dipper isopropyl gossipers foreordain akenes admissibility wainscotting falconers wobblies woodcarvers portages arthrography plash conditions pythons possessors modernly nonadults kilos jnanas plowable crimpiest hyaenic swordsmen inflaters hearkened puckering teleradiography unambiguous disinterring chocks genders psychologized pasteurized bridling reoriented mibs towered stertorous primeros riffraff machicolation grazer broncos dabbling honkers handsewn wagoners caverned chivalrousness archetypic crenated enzymologies','en',5,2,-1,-1,1,2007-11-18
3,3,1,1,2007-12-16,'expressionist diverters unclasps cabining treatabilities unsent unpeg occultism nonclerically anywise patly galls reclassifications nonautomated','nonphysiological hearing viciously identifications ortolans cosie toothiest bastardize straiten complimenter frangible noninductive windless plodder traditionalism venine trephining endocrinological downstroke safest hogtie dialled rosin diagrammatical voles tref paleontologists viniest humanizers bargained hypnotized forbiddance autographing greetings violoncellists contaminations pellagras trampling mosser peninsulas vinosities preaccepting miscall intermittence rivers trendier ichthyoid misidentification cymbals suppressive guided boxer calorics animates fluctuated streamer oaten trekkers emotions workbag approximation jingoistic abominators paned tawniest reciter stomachache singers volga frizzliest flagger','en',3,3,-1,-1,1,2008-02-27
4,8,1,1,2007-12-16,'monopolization mayvin coagulator duellist taxis amerindians columbines coloration scathing peskiness appeared reminiscing exudative debtors collop','stalags comities dognaped belfries gardens caulking contributing conquering overachieved nerving sumpter lures reprovers thornier feeblemindedness numerously kilovolt godliest mendicant tremens snatchier traveling polariscopic hydrargyrum stripteases subassemblies sensitization heavies fabricated cookshops wrestlers rosery synchronizes spillage wagoning proportionately reradiate evisceration busting nympho yetis dyarchy telegraphed plateaux cooch specifiers harried coursings gauntest millibar aquanauts xxi swanked basements miscognizant vigour sprier troche shirr diagraming sedulousness nervelessness pilings sandblasters etagere groundswell','en',-1,-1,-1,-1,1,2008-06-10
5,8,1,1,2007-09-02,'prosceniums casualness preconceived hearthstones melodramatists reanalyses punctilious flexor draftees vignetting','foxed incommensurately miffing jeerers labor lichenous coleuses huffiest conjuror pervades fagotings intestinally quagga vasomotor joineries indicative repentantly individualizes manageress outlying canoed substantival unblinking bodings nonslip redoubt nonphysiologically drowsier fainer drains chilliest interpreters incubated loganberry planarias outranging legitimation wooshed cruciform ukase gelid tardies weaponless addictively arteries compensations indetermination flinting parring shiksas scag reinvoking specking woollier overrides dayglow facers napalms outsmarted dict consolidators syrian reemphasis terrorist libretti indoctrination imbed skipperage disrespectful aikidos faking compatibilities survived gonadial safaris depictor warrantable ozonization viaticum numbed saving biscuits counselee spectating syphilis agrees preacher interdicted circumambulation elocutionist bulges pities freakout electrodynamic spryest millibars forasmuch celerities stragglier forjudge equational chops valetudinarians inquirer comforting speleologists foretoken prepossessing iambuses lockers flows southers mynahs meltdowns curbstone orbited homesteader lyrebird biggies millstones unshelled recompensive facia violinist brittled doping pygmyism glosses reappeared tines cuts tautologous downtowns tremens runny overtones batholiths socketed penpoints gambian kedged sharped unaccented ducats prorogations allegorical optative wavered techies supposing repapering rewed beryline precised entree orangeades comfits megalopolises shiksas audad undiversified laciness densify unworthier tamest interferences verbified divvying glimmerings snips prescribing heeder hemstitch reechoing flagellates rainout reflowers scything overseers oxtongues stocker fulltime eyepoint sourdoughs pester salivates manipulator ectoplasmic mesmerizes kicked chains innately invisibleness pausers bombardment brutifying sinfully suppuration unwarily troops','en',9,-1,8,-1,1,2008-01-25
6,5,1,1,2008-01-01,'rancidities hexylresorcinol foreheads ethers sanga gynecologists','kinglets roubles boogers spoilsport hoodwinks harking secedes wires trains cuniform rending figures hecatombs syllogistically summarize credibleness sitcom atheists sparkling weakly disarmament embankments nontransparent luff darkeys retirees redeem troubling narwhal unexpected landscapers presets benefactresses lovebirds heists psychosomatics substantival exogamies expressiveness glitches occlusions indulging antiquing truckage pimplier stubbier arrangers keeps solanums townsfolk heatedly alerters bourbons youthening laying sardinian sweatboxes sensibles improvisers uninformed weeds outfox obnoxiously detrimentalness recoinage flights occultism americas unpatentable earlier meretriciously sunning dodoism electrocute whickered deifying dimmer probably splendider snazzier jollified allocations fewnesses jiggliest commutable fetterer coagulation midsummer','en',3,-1,-1,5,1,2008-02-21
7,10,1,1,2007-08-15,'protestations amebae jejunums disallowing membered thermotropic nonfatal jackhammers articulating internationalizations gaper savageries wirephoto deanship','endoscopic acceptees wrasse syndicator rely sortieing withholders authenticators equities formalize anguses barwares prehardened depreciatory belaboring exalted retaliation prefixes ovolo muddiness churlishness mossbacks invaluably plights bicolours rabelaisian coagulations missiles husks mixtures decoct tumblers chints overinclining hymnodies omnium tintless displanted dispatching annunciated flytrap vireos unrevealed intakes lowerclassman relinquisher devitalize ignominy ailerons tarpons forfeitableness epergne angelfishes blockaded wirers resolvable eyeholes opening virilities blowhard valences novelist sodding summerier statism brights caulker deactivation cocoas absolutistic permutations perpetuating synchronizing isotopically budgeting apostrophizes remissions shining bulgiest ambitiously peerlessly sentimentalists despairing jackscrew disbursed plunging novas sourer vigorousness sorghums mummed melting redbirds melodiousness antirational inattentively crosser unvexed warrants godliest inflected entropies overawe seabeds extraneousness livelong mutably outshined goitre surrenderor maddish bursal rightest exits plottage aspca color categorizing ullage','en',3,4,-1,1,1,2008-02-03
8,3,1,1,2007-07-11,'curber resown advancements misarrange sweatshop generalissimos decimates named antitoxin prognostic outgrowing swatted prepossessingly larding nonclerical','dramatization tariffless microfilm encouraged tamperers exceptions glimmering harries charming caricaturing teraphim outweigh dryest groundhog deathblow snorkeling pestilently pantsuit mayoralties sirs labium denotes lummoxes platting leerier furnaces flensers clinicians facileness roubles recast flagellant gooier tailoress unpalatably avaunt proclaimed understudying overplays ratfink missions frizzled tweeds forworn roasters celebrationis cosets hipness consenting lining ovulated voteable veriest switchbacks filmily elaborating didies pleading bovid outrank cringles unsolder chickens taurine hognuts congratulates fantastical varnishes sackclothed fumier electrosurgeries wankel glaciating sageness radiobiology tensionless polyhedrons paeans slowish hydrotherapeutic maples crocked vivifying desolated domines plainer refining unleash manurer thwacks pickled amplifies oratorios hypocrites cooks foldaway impossibilities hornets anesthesiologies cliquiest preshapes cogitators establishments ditchers gappy sufflated careerers anvilled defenselessness torchbearer warmness ensures emotive easting lariating paratyphoid separates plenishes guitars planetariums literatures melodized playacts arraignments livener prohibiting bonesets pussiest geminating dihedron rezone isolationists beebee undoubtedly bullied interpretable oasts synthesizes maples boff recoil superscription methought migs sumacs truckmaster rewording noncontributory compartments sacristry horsehides','en',4,-1,-1,3,1,2008-02-29
9,5,1,1,2007-11-19,'lucidly rousers sluggardly synovias superlatives stylizing bifold expressions strokers jadedly gamines destitutely uncharged whiffled reinters','trey thymey aberrancies shamed seeks disestablishing steeper seasonable congruences accounter presupposed enactment whereunder arches amassers spikily renames assertors holdbacks cowling brownies nazifying smelters instances coarsened quia addles hor reverencer libellees affluxes mislabeling symboled uncomplicated trashiest egocentricity ahems solarizes cyclotrons drovers organists shellier fixup insulation unadvisedly awfulness banking compressions serfs quants intoxicatedly renouncers brayer fluffs dishwares sickbays indicium pastured cutcheries stuccoers capsulation nymphos antecedence bypasses defalcated jackroll sorters leeriness unpacified ceramicists backlist lacks epoxied ambergrease bushier wriggled exploiting nacelle complexity barriers oppugn narcotically starver sconces overripe suborners pickled chastities frisked anteceded lavishness zionist groggery opposers rollicked diarrhea expectoration thinker hopefully inactivities lengthily enrols macrocyte oversubtle desecrates unquotes clopped darks corpulently opprobrious hikes pressor bedecked solemnest fritterers vouchsafed ritard fantasied bedew regild psychodramas foothills intermitting interlocutors yrs gracilis hoariness fortuned goth burblers manager ablations agamic ejaculators pumicing challenged intercalating rebaptism tamburs rainfalls precalculates undocking antiserums propanol driftpin captaincies unlay stargazes lunes gymnasiums underran imitated forbidder loveliness tufaceous gonophs clarification inactivities hepcats ultrared paralyse mammalians maleficently outraces shrubs sections wrangles turnhall bacchants lynching cuniform galores retracts','en',7,2,4,-1,1,2008-03-21
10,6,1,1,2007-07-17,'searcher floodway misbehaver prevued graecized tilter martialling drumheads slits purifier','forsworn desiccations partaker insanity waterspout hawses bighted renovated watering individualized pregnantly glarier authoritarianism catguts mondo shuffler venues fleche charnels calamines bb fanwort surcharger actuaries cursoriness framing unroofed earnings divot redirected bubbliest gesticulating theobromine gravers depletes absconded attachments frumpiest chiropody spaniards celestas esteemed nixie ruiners flooded throwers prorogations snood revulsive ranker rickshaws internationalization drudged rambunctiousness hollooing scandalization enfeeble phalloid hoofer ordinariness rippliest kiting precipiced mumbler mayest pitchiest organizationally spacewalking copyists timesaver grampus trusty menarches differentiation swashbuckler accommodations limping docudrama pars flincher tugs frumps estranges potpie lips generousness clears pasts nubs squintiest sarcomas fryers dekameters surprised subdebutante mitigatory contentedly semiconductors astonishes buckling reletter historiographers fundamentals upbraided bureaus reglazed amnionic vociferations acrylics gushing reglosses saner looses foodstuffs aerosolized sightless balks excessively cervine kilty advancements laboratorial catalyzes epilepsies pressoreceptor','en',9,4,1,8,1,2008-02-29
